date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:44	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65861abf-22dfa76fa7f7fed4;gz%22	https://olaelectricbookings.com/robots.txt		(from )
14:23:45	35744/35744	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Sep%202024%2008:53:45%20GMT	https://olaelectricbookings.com/en/	F:/ola/olaelectricbookings.com/en/index.html	(from )
14:23:46	480/480	---M--	200	added ('OK')	image/png	etag:%222457b7ced4505a0b40429f9584bf87ec%22	https://cdn.olaelectric.com/ev-discovery-platform/favicon/stores/1/favicon.png	F:/ola/cdn.olaelectric.com/ev-discovery-platform/favicon/stores/1/favicon.png	(from https://olaelectricbookings.com/en/)
14:23:46	160346/160346	---M-Z	200	added ('OK')	text/css	etag:%222725a-66991912-fa3ea2fc1b584b03;gz%22	https://olaelectricbookings.com/en/public/front-end/plugins/bootstrap/bootstrap.min.css	F:/ola/olaelectricbookings.com/en/public/front-end/plugins/bootstrap/bootstrap.min.css	(from https://olaelectricbookings.com/en/)
14:23:46	58935/58935	---M-Z	200	added ('OK')	text/css	etag:%22e637-66991912-19ecd8fc0a10d4b6;gz%22	https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/css/all.min.css	F:/ola/olaelectricbookings.com/en/public/front-end/plugins/fontawesome/css/all.min.css	(from https://olaelectricbookings.com/en/)
14:23:48	57094/57094	---M-Z	200	added ('OK')	text/css	etag:%22df06-66991912-b416fccdca106352;gz%22	https://olaelectricbookings.com/en/public/front-end/plugins/animate-css/animate.css	F:/ola/olaelectricbookings.com/en/public/front-end/plugins/animate-css/animate.css	(from https://olaelectricbookings.com/en/)
14:23:48	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-66991912-650aa9c58101f4fc;gz%22	https://olaelectricbookings.com/en/public/front-end/plugins/slick/slick.css	F:/ola/olaelectricbookings.com/en/public/front-end/plugins/slick/slick.css	(from https://olaelectricbookings.com/en/)
14:23:49	3169/3169	---M-Z	200	added ('OK')	text/css	etag:%22c61-66991912-9c46876cce2435ea;gz%22	https://olaelectricbookings.com/en/public/front-end/plugins/slick/slick-theme.css	F:/ola/olaelectricbookings.com/en/public/front-end/plugins/slick/slick-theme.css	(from https://olaelectricbookings.com/en/)
14:23:49	2951/2951	---M-Z	200	added ('OK')	text/css	etag:%22b87-66991912-cdfd93db2d53f657;gz%22	https://olaelectricbookings.com/en/public/front-end/plugins/colorbox/colorbox.css	F:/ola/olaelectricbookings.com/en/public/front-end/plugins/colorbox/colorbox.css	(from https://olaelectricbookings.com/en/)
14:23:49	57987/57987	---M-Z	200	added ('OK')	text/css	etag:%22e283-66991912-89af49b4195a65d;gz%22	https://olaelectricbookings.com/en/public/front-end/css/style.css	F:/ola/olaelectricbookings.com/en/public/front-end/css/style.css	(from https://olaelectricbookings.com/en/)
